0	822
0	1820
0	57
0	1507
0	1786
1	12
1	9
1	1979
1	10
1	557
2	1798
2	14
2	324
2	1362
2	1535
3	17
3	1163
3	19
3	647
3	952
4	834
4	28
4	1402
4	1476
4	918
5	30
5	844
5	1005
5	1149
5	749
6	38
6	36
6	619
6	1752
6	50
7	1163
7	1022
7	1330
7	432
7	220
8	46
8	44
8	45
8	1277
8	220
9	1316
9	1383
9	641
9	1872
9	1943
10	50
10	52
10	647
10	1471
10	1163
11	57
11	59
11	1286
11	839
11	910
12	590
12	60
12	588
12	1947
12	1076
13	1949
13	1735
13	715
13	923
13	1056
14	67
14	71
14	1226
14	1411
14	1470
15	72
15	1906
15	67
15	673
15	1918
16	1789
16	75
16	1830
16	523
16	76
17	79
17	82
17	80
17	932
17	1396
18	1643
18	220
18	1801
18	1176
18	1012
19	1816
19	90
19	87
19	546
19	88
20	94
20	93
20	92
20	1149
20	800
21	230
21	351
21	495
21	1820
21	822
22	1734
22	231
22	102
22	971
22	866
23	104
23	108
23	1631
23	1889
23	1277
24	1794
24	1536
24	591
24	441
24	1242
25	118
25	1090
25	1941
25	238
25	115
26	1672
26	324
26	1540
26	19
26	1962
27	986
27	124
27	1520
27	1000
27	1572
28	1933
28	1415
28	252
28	848
28	1717
29	130
29	132
29	464
29	1117
29	131
30	458
30	134
30	1469
30	1630
30	121
31	140
31	1812
31	1879
31	647
31	1822
32	143
32	144
32	1730
32	822
32	1820
33	1975
33	145
33	546
33	146
33	1443
34	151
34	647
34	27
34	952
34	1163
35	156
35	2008
35	1358
35	794
35	833
36	160
36	1814
36	67
36	1355
36	1412
37	2003
37	166
37	171
37	1555
37	189
38	175
38	174
38	1377
38	824
38	1752
39	178
39	885
39	182
39	50
39	13
40	182
40	324
40	13
40	874
40	174
41	35
41	185
41	1056
41	184
41	565
42	189
42	1555
42	188
42	190
42	166
43	613
43	313
43	556
43	1878
43	409
44	1855
44	206
44	205
44	428
44	203
45	324
45	1535
45	52
45	1793
45	1928
46	206
46	351
46	83
46	327
46	57
47	1018
47	220
47	621
47	1377
47	1022
48	314
48	1047
48	59
48	225
48	1164
49	1606
49	327
49	83
49	1758
49	495
50	1013
50	83
50	327
50	505
50	234
51	1119
51	237
51	240
51	1223
51	1164
52	428
52	1017
52	832
52	1316
52	1383
53	1814
53	160
53	1412
53	1483
53	1551
54	250
54	85
54	249
54	1516
54	247
55	1642
55	1604
55	807
55	606
55	2030
56	1789
56	256
56	945
56	34
56	1359
57	257
57	258
57	918
57	1614
57	995
58	1226
58	1411
58	1016
58	198
58	807
59	597
59	268
59	1211
59	1876
59	342
60	1280
60	13
60	874
60	1752
60	74
61	280
61	281
61	324
61	1471
61	1163
62	285
62	903
62	535
62	162
62	904
63	287
63	627
63	1883
63	289
63	1458
64	293
64	292
64	43
64	1482
64	1969
65	233
65	294
65	1136
65	718
65	1113
66	1705
66	297
66	1617
66	929
66	265
67	301
67	910
67	563
67	302
67	1286
68	304
68	310
68	307
68	23
68	212
69	313
69	311
69	1551
69	639
69	932
70	316
70	314
70	1119
70	1164
70	1982
71	324
71	632
71	2002
71	1540
71	317
72	83
72	327
72	1758
72	52
72	1879
73	332
73	333
73	1722
73	507
73	715
74	334
74	335
74	1875
74	1842
74	1891
75	581
75	338
75	1841
75	1284
75	345
76	351
76	1820
76	822
76	347
76	731
77	1295
77	893
77	714
77	1659
77	1164
78	55
78	357
78	257
78	1090
78	1453
79	1755
79	361
79	359
79	760
79	918
80	441
80	1631
80	1535
80	591
80	1022
81	2022
81	375
81	1194
81	1013
81	1749
82	380
82	378
82	670
82	1243
82	999
83	1835
83	383
83	1979
83	1243
83	920
84	59
84	1220
84	57
84	563
84	2037
85	233
85	1136
85	388
85	1721
85	1013
86	1185
86	394
86	1826
86	1622
86	1239
87	1648
87	1838
87	396
87	699
87	461
88	397
88	398
88	1549
88	1463
88	1776
89	484
89	402
89	403
89	899
89	1100
90	2023
90	1943
90	793
90	1710
90	1846
91	1470
91	1220
91	807
91	839
91	351
92	3
92	412
92	1507
92	240
92	1153
93	419
93	418
93	675
93	1267
93	417
94	421
94	406
94	1366
94	825
94	1537
95	230
95	1786
95	1764
95	351
95	495
96	427
96	428
96	351
96	206
96	1286
97	1441
97	432
97	1330
97	1022
97	621
98	2002
98	436
98	324
98	1277
98	1540
99	1551
99	1483
99	1412
99	440
99	1814
100	1013
100	1255
100	1164
100	1603
100	1045
101	449
101	448
101	873
101	1725
101	1575
102	262
102	1730
102	453
102	143
102	1799
103	455
103	1454
103	1164
103	240
103	1518
104	351
104	67
104	822
104	1820
104	1605
105	462
105	460
105	464
105	1418
105	729
106	1653
106	2024
106	2030
106	1456
106	1642
107	1090
107	1190
107	1453
107	1022
107	921
108	317
108	647
108	566
108	952
108	1163
109	123
109	1867
